report,part failure
INDICATION OF CRACK/DEFECT DETECTED WHICH EXCEEDED THE ALLOWABLE THRESHOLD ON RIGHT HAND WING OUTBOARD AFT WING SPAR BOLT HOLE DURING EDDY CURRENT INSPECTION REQUIRED BY AD 2020-26-16,RT WING CRACKED
"DURING A SCHEDULED VISUAL INSPECTION OF THE ENGINE, EVIDENCE OF OIL SEEPING FROM THE CYLINDER ROCKER BOX COVER AREA WAS DISCOVERED ON TWO CYLINDERS. USING SOAP BUBBLES AND AIR, OIL SEEP WAS ISOLATED TO SEVERAL SMALL PIN HOLES AROUND THE RAISED STAMPED AREA ON THE ROCKER BOX COVER WHERE ""LYCOMING"" IS STAMPED.  FURTHER INSPECTION WITH A 10X MAGNIFYING GLASS CONFIRMED THE STAMPED AREA TO HAVE SMALL HOLES/CRACKS DIRECTLY AROUND THE EDGES OF THE STAMPED LETTERING.",ENGINE LEAKING
"DURING A SCHEDULED VISUAL INSPECTION, A CRACK WAS DISCOVERED THE RUDDER CONTROL ARM THAT CONNECTS THE RUDDER TRIM ACTUATOR MECHANISM TO THE RUDDER PEDAL CONTROL ASSEMBLY. THE CRACK EXTENDED FROM THE BOLT HOLE THAT ATTACHES THE CONTROL ARM ASSEMBLY TO THE RUDDER PEDAL ASSEMBLY BAR.",RUDDER CRACKED
"DURING A SCHEDULED MAINTENANCE INSPECTION OF THE ENGINE ROCKER BOX COVERS, EVIDENCE OF OIL SEEPING FROM THE CYLINDER #5 ROCKER BOX COVER AREA WAS DISCOVERED ON RAISED ""LYCOMING"" STAMPED.  FURTHER INSPECTION WITH A 10X MAGNIFYING GLASS CONFIRMED THE STAMPED AREA TO HAVE SMALL HOLES/CRACKS DIRECTLY AROUND THE EDGES OF THE STAMPED LETTERING.",ENGINE LEAKING
"DURING A SCHEDULED MAINTENANCE INSPECTION OF THE ENGINE ROCKER BOX COVERS, EVIDENCE OF OIL SEEPING FROM CYLINDER #4 ROCKER BOX COVER AREA WAS DISCOVERED ON RAISED ""LYCOMING"" STAMPED. FURTHER INSPECTION WITH A 10X MAGNIFYING GLASS CONFIRMED THE STAMPED AREA TO HAVE SMALL HOLES/CRACKS DIRECTLY AROUND THE EDGES OF THE STAMPED LETTERING.",ENGINE LEAKING
"DURING A SCHEDULED MAINTENANCE INSPECTION OF THE ENGINE ROCKER BOX COVERS, EVIDENCE OF OIL SEEPING FROM CYLINDER #5 ROCKER BOX COVER AREA WAS DISCOVERED ON RAISED ""LYCOMING"" STAMPED. FURTHER INSPECTION WITH A 10X MAGNIFYING GLASS CONFIRMED THE STAMPED AREA TO HAVE SMALL HOLES/CRACKS DIRECTLY AROUND THE EDGES OF THE STAMPED LETTERING.",ENGINE LEAKING
PASSENGER DOOR 2R DIFFICULT TO ARM,R2 MALFUNCTIONED
"DURING CRUISE POWER SETTINGS ALTERNATOR BELT WOULD BE THROWN OFF. AT RECOMMENDATION OF ENGINE SHOP, REMOVED CYLINDERS ONE AND TWO. REMOVED COUNTERWEIGHT AND FOUND PINS AND BUSHINGS TO BE WORN BEYOND LIMITS LIKELY CAUSING VIBRATION.",CRNK COUNTWEIGHT WORN
"THE CREW REPORTED UNRELIABLE AIRSPEEDS AND ALTIMETER AT FL370, UNTIL ABOUT 12,000 FEET. THE CREW ALSO REPORTED AN IC 1 WOW INOP MESSAGE AND THAT THEIR CAPTAIN'S PRIMARY FLIGHT DISPLAY HAD RED X'S. THE CREW DECLARED AND EMERGENCY AND DIVERTED TO KSGF, LANDING WITHOUT INCIDENT. THE CREW FURTHER REPORTED AN ELECTRICAL SMOKE SMELL IN THE COCKPIT ON TAXI IN. THE AIRCRAFT IS CURRENTLY OUT OF SERVICE.",COCKPIT ODOR
DURING REACTIVATION FROM LONG TERM PARKING. EMERGENCY LIGHT SIGN AT R1 DOOR INOP...REMOVED AND REPLACED BATTERY IAW 787 AMM 33-51-07 OPS CK GOOD,ZONE 800 DISCHARGED
"CABIN WAS NOT PRESSURIZING CORRECTLY , EMERGENCY AIR AND CABIN ALTITUDE  ANNUNCIATOR WARNING LIGHTS CAME ON. FLIGHT CREW DECALED AN EMERGENCY AND AND PERFORMED A EMERGENCY DECENT AND AND UNSCHEDULED LANDING TO AUS SAFELY.  CREW THINKS THE AIRCRAFT CABIN LOSS PRESSURE. MAINTENANCE PERFORMED GROUND PRESSURIZATION CHECKS ON AIRCRAFT THE AIRCRAFT PRESSURIZED ON THE GROUND. MAINTENANCE CHECK FOR FOR AIR LEAKS AND FOUND A SMALL LEAK COMING FROM THE WINDSHIELD ANTI SHUTOFF VALVE AND AIR CONDITIONER DRAIN VALVE NOT SEAT.  MAINTENANCE MEL THE PRESSURIZATION SYSTEM PER THE MEL AND  THE AIRCRAFT FLOWN BACK TO OUR MAINTENANCE BASE UNPRESSURIZED FOR REPAIRS AND MORE TROUBLE SHOOT OF SYSTEM.",WINDSHIELD LEAKING
PILOTS WINDSHIELD CRACKED DURING ACCENT.  ONLY THE OUTER PANE CRACKED. THE AIRCRAFT LANDED IN IDAHO FALLS WITHOUT INCIDENT.,COCKPIT LEFT CRACKED
"IN FLIGHT, CREW HAD WHEEL WELL OVERHEAT LIGHT AS WELL AS MASTER FIRE WARNING LIGHTS ILLUMINATE. LIGHTS EXTINGUISHED WHEN LANDING GEAR WAS EXTENDED. UPON LANDING, MAINTENANCE INSPECTION DETERMINED OVERHEAT SENSING LOOP CONNECTION WAS DIRTY, CLEANED AND PERFORMED OPERATIONAL CHECK PER AMM- 26-17-00. SYSTEM CHECKED NORMAL. NO FURTHER DEFECTS REPORT AFTER SUBSEQUENT FLIGHTS.",MLG WW DIRTY
CARGO FIRE INDICATION IN FLIGHT AT CRUISE ALTITUDE. LIGHT EXTINGUISHED AFTER 5 SECONDS. NO OTHER INDICATION OF FIRE FWD COMPARTMENT,FIRE DETECTION FALSE INDICATION
"26.07.2021 23:30 FUEL SPILLAGE IN RIGHT TANK DUE TO THE VALVE DID NOT CLOSE.  DURING FUELING, A FUEL SPILLAGE IN THE RIGHT TANK OCCURRED DUE TO THE SHUTOFF VALVE DID NOT CLOSE AUTOMATICALLY; THE PLATFORM WAS CLEANED BY FIREMEN. MAINTENANCE PERSONNEL CLOSED THE VALVE MANUALLY AND IT WAS PERFORMED REVISION, DETECTING THE FUEL SHUTOFF VALVE; SO THE FUEL SHUTOFF VALVE WAS REPLACED IAW AMM 28-21-51, TESTED CORRECT.",FUEL SYSTEM DAMAGED
"19.07.2021 17:46 CREW REPORTED VIA ACARS LEFT ENGINE HYDRAULIC LOW PRESSURE.  CAPTAIN REPORTED THAT DURING CRUISE, THE EICAS MESSAGE LEFT ENGINE HYDRAULIC LOW PRESSURE LIGHT TURNED ON. MAINTENANCE PERSONNEL PERFORMED REVISION AT LEFT ENGINE, DETECTING HYDRAULIC LEAK AT LEFT ENGINE DRIVEN PUMP; THE LEFT EDP PUMP WAS REPLACED IAW AMM TASK 29-11-11-000-400/801-001, TESTED CORRECT",HYD SYSTEM LOW PRESSURE
"18.06.2021 15:24 CREW REPORTED VIA ACARS HYDRAULIC PUMP INOPERATIVE LIGHT.  CAPTAIN REPORTED THAT DURING CRUISE, THE EICAS MESSAGE RIGHT ENGINE LOW PRESSURE LIGHT WAS SHOWN. MAINTENANCE PERSONNEL PERFORMED REVISION DETECTING HYDRAULIC PUMP FAILED AT HYDRAULIC SYSTEM B OF THE ENGINE DRIVEN PUMP; SO THE RIGHT ENGINE DRIVEN PUMP WAS REPLACED IAW AMM 29-11-11 AND THE HYDRAULIC SYSTEM B OPERATIONAL TEST WAS PERFORMED IAW AMM 29-11-29, TESTED CORRECT.",HYD SYSTEM INOPERATIVE
"25.05.2021 18:42 SEVERAL ROLLER OF PDU AT FWD CARGO COMPARTMENTDURING 4MO-P CHECK IN TASK CARD J8750-030-00-01 (27) AT MEX STATION, IT WAS DETECTED THE ROLLER OF PDU IN BALL MAT 122HF AND BALL MAT 121GF AT FWD CARGO COMPARTMENT OUT OF LIMITS. THE WO?S 7487831 AND 7487833 WERE ISSUED TO PERFORM PERMANENT REPAIR. THE PDU ROLLERS P/N G43P040-1 S/S, MANUFACTURER BOEING COMPANY WERE REPLACED IAW DMC-B787-A-50-1-01-01A-520A-A AND DMC-B787-A-50-1-01-01A-720A-A, ALL CORRECT.",CARGO PDU FAILED
"AFTER ENGINE START R ENG CONTROL MESSAGE ON STATUS. AIRCRAFT RETURNED TO PLATFORM DUE TO DURING RIGHT ENGINE START, THE RIGHT ENGINE CONTROL LIGHT TURNED ON. MAINTENANCE PERSONNEL PERFORMED BITE TO RIGHT EEC IAW FIM DMC-B787-A-G733-20-F1-51A-421-A-A, SHOWING FAILURE CODE 732 466 52; SO THE RIGHT ENGINE CONFIGURATION BOX ENGINE WAS REPLACED IAW AMM DMC-BT87-A-673-21-07-00A-520A-A, TESTED CORRECT.",ENG CONFIG FAILED
"EMERGENCY EXIT LIGHT AT ROW 18A, LT OVER WING EMERGENCY EXIT FAILED OPERATIONAL CHECK.",ROW 18A NO TEST
"FUEL CONTROL PERFORMED AN COMMANDED ACCELERATION, OVERSPEED GOVERNOR STOPPED THE OVERSPEED FROM HAPPENING.",ENGINE FAILED
BATTERY FAIL ILLUMINATION TEST,EMERGENCY LIGHTS NO TEST
BATTERY FAIL ILLUMIATION TEST,EMERGENCY LIGHTS NO TEST
BATTERY DID NOT ILLUMINATE LIGHTS DURING TEST.,EMERGENCY LIGHTS NO TEST
"WHILE ACCOMPLISHING WORK CARD 09C20025005, FOUND EMA AT SEAT 1AB TO BE NOT WORKING FOR THE INFLATABLE SEATBELTS. RAR EMA IAW AMM 25-22-30. OPS CHECK GOOD AFTER REPLACEMENT.",SEAT 1AB FAILED
BLUE MR BLADE HAS CRACK IN EROSION STRIP APPROX BLADE STA 110.,MAIN ROTOR CRACKED
"FOUND EMERGENCY BATTERY PACKS FOR DOOR 3R/L SINGS (M33406), AND FWD COACH LH AREA CEILING LIGHTS (M33400)INOPERATIVE. REPLACED BATERRY PACKS D717-01-100, NOW OPS NORMAL.",EMERGENCY LIGHTS DISCHARGED
"WHILE EN ROUTE TO KESC, THE FLIGHT CREW REPORTED A SMALL FLAME AND SMOKE EMANATING FROM THE FLAP POSITION INDICATOR.  BACKLIGHTS WERE TURNED OFF. THE FLAME AND SMOKE DISSIPATED. THE AIRCRAFT LANDED WITHOUT INCIDENT IN KESC.  MAINTENANCE TROUBLESHOT SYSTEM TO A FAULTY FLAP POSITION INDICATOR BACKLIGHT PANEL ASSEMBLY. DISCONNECTED AND STOWED CONNECTOR, DEFERRING IAW MEL 33-01. THE PANEL WILL NEED TO BE REPLACED WHEN RECEIVED, THIS SDR WILL BE UPDATED WHEN THE DISCREPANCY HAS BEEN CLEARED.",FLAP POSITION FAILED
"CENTER WING-UPPER PLATING BETWEEN LBL 54 - LBL 43 AROUND REPAIR SPAR, CORROSION DAMAGE REPAIR.",FUSELAGE CORRODED
"CENTER WING - UPPER PLATTING BETWEEN LBL 7-LBL 9.5 AROUND REAR SPAR, CORROSION DAMAGE REPAIR.",FUSELAGE CORRODED
"LEFT WING - UPPER PLATING BETWEEN WBL 190 TO 198 AROUND REAR SPAR, CORROSION DAMAGE REPAIR.",LT WING CORRODED
"LEFT WING, TRAILING EDGE STRUCTURE AT UPPER FORWARD SECTION BETWEEN WBL 296 TO 283, CORROSION DAMAGE REPAIR.",LT WING CORRODED
LEFT ENGINE FIRE MASTER WARNING MESSAGE AT FLIGHT LEVEL 260. SHUTDOWN LEFT ENGINE AND RETURNED TO AIRPORT. FOUND LEFT ENGINE LOW PRESSURE TURBINE CASE COOLING DUCT RUPTURED. REPLACED DUCT.,LT ENGINE RUPTURED
"UPON LANDING ROLLOUT NOTICED HEAVY VIBRATION WHILE EXITING OFF THE RUNWAY, STOPPED AIRCRAFT ON TAXIWAY AND HAD AIRCRAFT TOWED INTO THE GATE AT WHICH POINT BOTH NOSES WHEEL TIRES WERE FLAT, FOUND NOSE LANDING GEAR DOORS DAMAGED. CORRECTIVE ACTION: REPLACED LEFT AND RIGHT NOSE WHEEL ASSEMBLIES , INSTALLED TARGET P/N D57415 AND SUPPROT ASSEMBLY P/N GA63717. REMOVED AND INSTALLED SERVICABLE LEFT AND RIGHT AFT NLG DOORS LEFT P/N S5287660201600, RGIHT P/N S5287660201700.",NLG DEFLATED
FLIGHT# 9001 BGR/BGR REPORT: GEAR INTRANSIT LIGHT FAILED TO EXTINGUISH RAN QRH AIR RETURN TO BGR. CORRECTIVE ACTION: REMOVED AND REPLACED NLG RETRACT ACTUATOR PERFORMED FUNCTIONAL TEST OF MLG EXTENSION AND RETRACTION.,MLG FAILED
SUPPLEMENTAL:FLIGHT:69 HSV/HSV AFTER TAKEOFF FLIGHT CREW REPORTED ISSUES WITH LANDING GEAR ( LANDING GEAR WONT GO UP) AIR RETURN TO HSV.  REPLACED LANDING GEAR CONTROL LEVER OPERATIONAL CHECKS GOOD.,MLG MALFUNCTIONED
"FLIGHT: 146 GSP/MCO LAVATORY DOOR UNABLE TO OPEN FROM THE INSIDE. CORRECTIVE ACTION: INSPECTED LAV DOOR LATCH MECHANISM AND FOUND DOOR FRAME BRACKET WHERE LATCH MAKES CONTACT WITH DOOR FRAME BENDED OUT OF SAHPE PREVENTING NORMAL OPERATION OF THE DOOR, STRAIGHTENED OUT DOOR FRAME METAL BRACKET OPERATIONAL CHECK NORMAL.",LAV DOOR LATCH BENT
"FLIGHT: 65 FLL/FLL LANDING GEAR FAILED TO GO DOWN AND LOCK, TRANSIT LIGHT STAYED ON AND HYDRAULIC MOTOR RAN FOR AT LEAST 90 SECONDS THEN WE PUT THE LANDING GEAR UP AND RETURNED TO FLL. REMOVED AND REPLACED HYDRAULIC PRESSURE MANIFOLD PERFORMED EXTENSION AND RETRACTION OF LANDING GEARS OPERATIONAL CHECK NORMAL.",HYD SYSTEM BYPASSING
"FLIGHT: 147 FLL/JAX LANDING GEAR FAILED TO GO DOWN AND LOCK DURING INITIAL APPROACH, REMAINED IN TRANSIT WITH LIGHT ON AND HYDRAULICS NORMAL, EMERGECNY GEAR HANDLE PULLED GEAR EXTENDED LOCKED DOWN. CORRECTIVE ACTION: REPLACED LANDING GEAR CONTROL VALVE OPERATIONAL CHECK SATISFACTORY.",MLG BYPASSING
"FLIGHT: 79 TLH/FLL LANDING GEAR ""UNLOCK"" LIGHT ONLY ON MAIN PANEL WHEN GEAR SELECTED DOWN POSSILBE TIE TO MFC FAULT AS SOON AS MFC RECOVERED NOSE GEAR EXTENDED AND WE HAD 3 GREEN. CORRECTIVE ACTION: PERFORMED OPERATIONAL CHECK COULD NOT DUPLICATE.",MLG FALSE ACTIVATION
FLIGHT: 52 TLH/TPA FLAPS STUCK AT 0 ON FINAL APPROACH ( EMERGENCY DECLARED)   REPLACED FLAP CONTROLSWITCH UNIT OPERATIONAL TEST GOOD.,TE FLAPS STUCK
FLIGHT: 75 EYW/MCO FA REPORTS UNABLE TO OPEN CABIN DOOR DUE TO LOOSE TRIM PIECE.    INSTALLED NEW LINING.,PAX DOOR LOOSE
FLIGHT: 143 GSP/TPA #4 WHEEL DISCOVERED MISSING ON POSTFLIGHT.  REMOVED AND REPLACED RIGHT MAIN LANDING GEAR SWINGING LEVER ASSEMBLY PN OFF GA64778-3 SN OFF 1GSAD3806601500 PN ON GA64778-3 SN ON 14SAD3418401468  AND INSTALLED NUMBER FOUR WHEEL/TIRE ASSEMBLY PN ON 3-1518-2 SN ON 398674. PERFORMED FUNCTIONAL TEST OF NORMAL LANDING GEAR EXTENSION AND RECTRACTION.,MLG MISSING
"FLIGHT: 62,   LANDING GEAR HANDLE WOULD NOT RETRACT ON TAKEOFF,  AFTER 10-12 ATTEMPTS IT FINALLY MOVED UPWARD.  REMOVED AND REPLACED LANDING GEAR HANDLE OPERATIONAL CHECK OK.",MLG FAULTED
SUPPLEMENTAL: REPORT: LH AFT MAIN LANDING GEAR BODY PANELS AND PROTION OF FUSELAGE DAMAGE DUE TO TUGCONTACT WITH AIRCRAFT. CORRECTIEV ACTION: REPAIRED LEFT AFT MAIN LANDING GEAR BODY PANLES AND FUSELAGE DAMAGE IAW EO  ATR42-5300-2021-001 AND ATR INSTRUCTION REFERENCE ES-0148580-02 ISSUE C.,ZONE 100 DAMAGED
"RH X-FRAME HAS THREE CHAFED AREAS LOCATED ON ITS INBD BEADED FACE DUE TO A/C LINES. THE AFT RH INTERNAL TRANSMISSION DECK ?DIAMOND PLATE? DOUBLER ALSO HAS A CHAFE DUE TO THE TAIL ROTOR CONTROL CABLE.  2 OF THE CHAFE MARKS ON THE X-FRAME ARE LOCATED ON ITS UPPER FWD LEG. THE LARGER OF THE TWO WAS MEASURED AT .007? DEPTH, .350? LENGTH, .225? WIDTH. THE SMALLER MEASURED AT .007? DEPTH, .175? LENGTH, .100? WIDTH.  THE 3RD CHAFE ON THE X-FRAME IS LOCATED ON ITS LOWER FWD LEG. MEASURED AT .011? DEPTH, .225? LENGTH, .125? WIDTH.  THE DIAMOND PLATE CHAFE WAS MEASURED AT .008? DEPTH & .175? IN LENGTH.",FUSELAGE CHAFED
"4685 LOWER FWD TAILBOOM SKIN HAS TWO CHAFING MARKS ON ITS RH LOWER INTERNAL FACE LOCATED BETWEEN THE TAILBOOM JUNCTION FRAME AND THE X620 CIRCUMFERENTIAL FRAME CAUSED BY A WIRE HARNESS.  THE LARGER OF THE TWO WAS MEASURED AT APPROXIMATELY .007? IN DEPTH, 1.2? IN LENGTH, AND .200? IN WIDTH. THE SMALLER CHAFE WAS MEASURED APPROXIMATELY .007? IN DEPTH, .150? IN LENGTH, AND .250? IN WIDTH.  BELOW IS A QUICK SRM REFERENCE, AND ATTACHED WILL BE PHOTOS OF THE DAMAGED AREA",ZONE 300 CHAFED
"DAMAGE TO THE ENGINE DECK (PN: 350A21-1239.21) WAS NOTED IN THE FORM OF A CHAFE. THE DAMAGE AREA WAS DISCOVERED TO BE JUST AFT OF THE SCUPPER DRAIN HOLE AND IS APPROXIMATELY 0.40? LONG, 0.30? WIDE, AND 0.010? DEEP AT THE DEEPEST POINT.",ENGINE BAY CHAFED
CORROSION WAS NOTED ON THE RH SIDE OF THE CABIN FLOOR EDGE.,CABIN CORRODED
"FUSELAGE SIDE TAIL BOOM JUNCTION FRAME (PN 350A21-4503-20) HAS CHAFING DAMAGE FROM THE CABLE RUBBING ALONG THE EDGE OF A FEEDTHROUGH HOLE IN THE UPPER PORTION OF THE FRAME. THE DAMAGE IS UP TO 0.070? DEEP, 0.100? WIDE, AND 0.500? LONG.",TAILBOOM CHAFED
THE RH TRANSMISSION DECK EDGING (PN 350A21-1041-22) HAS A GOUGE THAT IS UP TO 0.200? IN DIAMETER AND ALMOST THROUGH THE PART.,TRANSMISSION BAY CHAFED
MAIN GEAR BOX UPPER SURFACE WHERE IT MATES WITH THE RING GEAR HAS MINOR PITTING CORROSION MEASURING APPROXIMATELY .002? - .003? IN DEPTH.,MAIN ROTOR CORRODED
"DAMAGE TO THE 15? BULKHEAD LH WEB (PN: 350A21-1032.22) AND THE LH POST (PN:350A21-1031.33) IN THE FORM OF MULTIPLE CHAFES (SEE FIGURES 1-2). THERE IS ALSO DAMAGE TO THE RH WEB (PN:350A21-1032.23) IN THE FORM OF CHAFES.  INSIDE THE LH LATERAL CARGO HOLD THE 15 DEGREE BULKHEAD HAS A TOTAL OF SIX CHAFED LOCATIONS, TO INCLUDE THE LH LANDING GEAR DAMPER SUPPORT CHANNEL.  INSIDE THE RH LATERAL CARGO HOLD THE 15 DEGREE BULKHEAD HAS A TOTAL OF THREE CHAFED LOCATIONS.  THE DAMAGES RANGE FROM AS LOW AS .005? TO AS DEEP AS .020? IN DEPTH.",ZONE 200 CHAFED
"DAMAGE TO THE ENGINE DECK (PN: 350A21-1239.21) IN THE FORM OF A CHAFE AND DENT.  THE DAMAGE AREAS WERE DISCOVERED TO BE NEAR THE SCUPPER DRAIN HOLE WITH THE CHAFE MEASURING PPROXIMATELY 0.50? LONG, 0.20? WIDE, AND 0.005? DEEP AT THE DEEPEST POINT, AND THE DENT MEASURING APPROXIMATELY 0.50? IN DIAMETER AND 0.040? DEEP,.",ZONE 200 CHAFED
"A/C 7267 HAS A GOUGE LOCATED RBL 17.75 MEASURING APPROXIMATELY .017? IN DEPTH, .125? IN LENGTH, AND .100? IN WIDTH ON THE BOTTOM OF THE X1790.15 FRAME WHERE IT MATES WITH THE BELLY PANEL.",ZONE 100 GOUGED
THERE IS CORROSION DAMAGE TO THE LEFT HAND CABIN FLOOR EDGING (PN: 350A21-1359-20/21).,ZONE 100 CORRODED
"C130 S/N 7174 WAS FOUND TO HAVE LUGGAGE COMPARTMENT DOOR FRAME DAMAGE AT APPROXIMATELY STA 1863, WL 1990, AND BL 280L/R WITH A MAXIMUM DEPTH OF 0.021",ZONE 200 CHAFED
"DURING INSPECTION, FOUND ONE CRACK IN THE FRAME 5 WEB AT THE UPPER RIGHT BULKHEAD ATTACH HOLE, AND ONE CRACK AT THE LEFT SIDE UPPER BULKHEAD ATTACH HOLES.",ZONE 200 CRACKED
